University,supervisor,title,Duration
University of New Mexico,"['Dr. Amy Levi, PhD, CNM, WHNP-BC', 'Dr. Van Roper, RN, FNP-C, PhD']",Rural Health Nursing,8 weeks long
Yale University,['Diana E.E. Kleiner'],Roman Architecture,12 weeks long
University of Manchester,"['Prof. David M. Schultz', 'Dr Rochelle Taylor']","Our Earth: Its Climate, History, and Processes",5 weeks long
University of Illinois at Urbana-Champaign,['Dr. Jonathan Tomkin'],Introduction to Sustainability,8 weeks long
The University of Chicago,['John H. Cochrane'],"Asset Pricing, Part 1",7 weeks long
University of Illinois at Urbana-Champaign,['Dr. Prasanta Kalita'],"Global Postharvest Loss Prevention: Fundamentals, Technologies, and Actors",4 weeks long
Berklee College of Music,['Gary Burton'],Jazz Improvisation,5 weeks long
"University of California, San Francisco","['Catherine R. Lucey, MD']",Clinical Problem Solving,6 weeks long
Yale University,['Ian Shapiro'],Moral Foundations of Politics ,8 weeks long
Brown University,['Philip Klein'],Coding the Matrix: Linear Algebra through Computer Science Applications,10 weeks long
Berklee College of Music,"['George W. Russell, Jr.']",Developing Your Musicianship,6 weeks long
University System of Georgia,"['Anissa Lokey-Vega, Ph.D.', 'Jordan P Cameron']", K-12 Blended & Online Learning,8 weeks long
Universiteit Leiden,['Richard Thomas Griffiths'],Configuring the World: A Critical Political Economy Approach,8 weeks long
Johns Hopkins University,"['Brian Caffo, PhD']",Mathematical Biostatistics Boot Camp 2,7 weeks long
University of Pennsylvania,['Kevin Werbach'],Gamification,6 weeks long
University of London,"['Dr Emm Johnstone', 'Dr Graham Smith', 'Professor Justin Champion', 'Professor  Nigel Saul', 'Professor Jonathan Phillips']",The Magna Carta and its Legacy ,6 weeks long
National University of Singapore,['Peter Edwards'],Write Like Mozart: An Introduction to Classical Music Composition,6 weeks long
Duke University,"['Leonard E. White, Ph.D. ']",Medical Neuroscience,12 weeks long
University of Pennsylvania,"['Dr. John L. Puckett', 'Dr. Michael Charles Johanek']","American Education Reform: History, Policy, Practice",8 weeks long
Johns Hopkins University,"['Martin Lindquist, PhD, MSc']",Statistical Analysis of fMRI Data,6 weeks long
University of Pittsburgh,['Michael Beach'],Disaster Preparedness,6 weeks long
Duke University,['Dale Purves'],Visual Perception and the Brain,8 weeks long
Johns Hopkins University,"['John McGready, PhD, MS']",Statistical Reasoning for Public Health 2: Regression Methods,7 weeks long
University of Copenhagen,['Ib Bondebjerg'],Scandinavian Film and Television,5 weeks long
State University of New York,"['Prof. Yvonne D. Harrison, PhD', 'Prof. Vic Murray, PhD']",The Governance of Nonprofit Organizations,16 weeks long
Duke University,"['Dr. Jennifer M. Groh, Ph.D.']",The Brain and Space,6 weeks long
Duke University,"['Dr. Walter  Sinnott-Armstrong', 'Dr. Ram  Neta']",Think Again: How to Reason and Argue,12 weeks long
Berklee College of Music,['Pat Pattison'],Songwriting,6 weeks long
Georgia Institute of Technology,"['Dr. Bonnie H. Ferri', 'Dr. A. Bruno Frazier', 'Nathan V. Parrish']",Linear Circuits,10 weeks long
University of Illinois at Urbana-Champaign,"['Dr. Jim Lowe, DVM, MS, Dip ABVP (Food Animal)', 'Dr. Brian Aldridge, BVSc, MS, PhD, Dip ACVIM (Large Animal), MRCVS']",Sustainable Food Production Through Livestock Health Management,6 weeks long
University of Minnesota,"['Ann S. Masten, Ph.D., LP']","Resilience in Children Exposed to Trauma, Disaster and War: Global Perspectives",6 weeks long
Johns Hopkins University,['Dr. Henry Perry'],Health for All Through Primary Health Care,5 weeks long
University of Illinois at Urbana-Champaign,['Rob A. Rutenbar'],VLSI CAD:  Logic to Layout,10 weeks long
American Museum of Natural History,"['Rob DeSalle, Ph.D.', 'David Randle, Ph.D.']",Genetics and Society: A Course for Educators,4 weeks long
"University of Maryland, College Park","['Dr. Gary  LaFree', 'Bill Braniff']",Understanding Terrorism and the Terrorist Threat,8 weeks long
Icahn School of Medicine at Mount Sinai,"['Avi Ma’ayan, PhD']",Network Analysis in Systems Biology,7 weeks long
The University of Edinburgh,['Dr Andrea D Ellis'],Equine Nutrition,5 weeks long
The University of Edinburgh,"['Professor Nat Waran', 'Dr Fritha Langford', 'Heather J Bacon, BSc BVSc CertZooMed MRCVS', 'Miss Hayley  Walters, RVN', 'Dr Jill MacKay']",Animal Behaviour and Welfare,6 weeks long
Universitat Autònoma de Barcelona,"['Silvia Solá Viñals', 'Jose Ygoa-Bayer', 'Ian James']",English for teaching purposes,4 weeks long
National University of Singapore,"['John Holbo, Associate Professor']",Reason and Persuasion: Thinking Through Three Dialogues By Plato,8 weeks long
University of Illinois at Urbana-Champaign,['Madhu Viswanathan'],Subsistence Marketplaces,8 weeks long
The University of North Carolina at Chapel Hill,['Donald Hornstein'],Introduction to Environmental Law and Policy,6 weeks long
Northwestern University,['Dr. Melissa A. Simon'],Career 911: Your Future Job in Medicine and Healthcare,6 weeks long
University of Illinois at Urbana-Champaign,['Gopesh Anand'],Operations Management,4 weeks long
University of Wisconsin–Madison,"['Catherine Woodward, Ph.D.']",Forests and Humans: From the Midwest to Madagascar,4 weeks long
University of Illinois at Urbana-Champaign,['Scott Weisbenner'],Financial Evaluation and Strategy: Investments,4 weeks long
"University of California, Irvine",[],"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity ",4 weeks long
Stanford University,['Michael Genesereth'],General Game Playing,8 weeks long
University of Washington,['Dr. Matthew Sparke'],Globalization and You,10 weeks long
Icahn School of Medicine at Mount Sinai,"['Avi Ma’ayan, PhD']",Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,7 weeks long
University of Illinois at Urbana-Champaign,['Rhiannon Clifton'],Digital Marketing Channels: Planning,4 weeks long
University of Illinois at Urbana-Champaign,['Kevin Hartman'],Digital Analytics for Marketing Professionals: Marketing Analytics in Practice,4 weeks long
University of Michigan,"['Margaret Wooldridge, Ph.D.']",Introduction to Thermodynamics: Transferring Energy from Here to There,8 weeks long
Caltech,['Mike Brown'],The Science of the Solar System,9 weeks long
"University of California, Irvine",['Sue Robins'],The Art of Negotiation,4 weeks long
Stanford University,['Dan Boneh'],Cryptography II,6 weeks long
"University of California, Irvine",[],Project Management: The Basics for Success ,4 weeks long
"University of California, Irvine",[],Finance for Non-Financial People,4 weeks long
University of Amsterdam,['Matthijs Rooduijn'],Descriptive Statistics,6 weeks long
University of Illinois at Urbana-Champaign,"['Gregory L. Davis, CPA, CMA, CFM, CCM']","Managerial Accounting: Cost Behaviors, Systems, and Analysis",4 weeks long
Emory University,"['Dabney P. Evans, PhD, MPH', 'Carlos del Rio, MD']",Ebola: An Evolving Epidemic,6 weeks long
The Pennsylvania State University,['Prof. Kelleann Foster'],Geodesign: Change Your World,5 weeks long
"University of California, Irvine",['Margaret  Meloni'],Managing Project Risks and Changes,4 weeks long
University of Michigan,['Eric Rabkin'],"Fantasy and Science Fiction: The Human Mind, Our Modern World",11 weeks long
University of Wisconsin–Madison,['Jonathan Patz'],Climate Change Policy and Public Health,4 weeks long
University of Illinois at Urbana-Champaign,['Gopesh Anand'],Process Improvement,4 weeks long
Princeton University,['Christopher Brinton'],Networks Illustrated: Principles without Calculus,6 weeks long
University of Illinois at Urbana-Champaign,"['Gregory L. Davis, CPA, CMA, CFM, CCM']","Managerial Accounting: Planning, Standard Costing, and Performance Measurement",4 weeks long
The World Bank,"['Fernanda Ruiz Nuñez', 'Jane Jamieson', 'Dianne Rudo']",Public-Private Partnerships (PPP): How can PPPs help deliver better services?,4 weeks long
"University of California, Irvine",['Patricia  Bravo'],Communication in the 21st Century Workplace,4 weeks long
University of Amsterdam,['Annemarie Zand Scholten'],Inferential Statistics,6 weeks long
Copenhagen Business School,"['Kai  Hockerts', 'Kristjan Jespersen', 'Robert Austin', 'Anirudh Agrawal']",Social Entrepreneurship,12 weeks long
University of Michigan,['Dr. Richard Meisler'],AIDS: Fear and Hope,7 weeks long
University of Illinois at Urbana-Champaign,['Rhiannon Clifton'],Digital Marketing Channels: The Landscape,4 weeks long
University of Florida,"['Chad Carr, Ph.D.']",The Meat We Eat,7 weeks long
"University of California, San Diego ",['Scott  Klemmer'],Visual Design,3 weeks long
"University of California, Irvine",[],Effective Problem-Solving and Decision-Making,4 weeks long
University of Virginia,"['Prof. Kurtis R. Schaeffer', 'Prof. David Francis Germano']",Buddhist Meditation and the Modern World,13 weeks long
University of Michigan,"['Elizabeth Du, M.D.']",Introduction to Cataract Surgery,4 weeks long
"University of California, San Diego ",['Scott  Klemmer'],From Point of View to Prototype,3 weeks long
"University of Maryland, College Park","['Charles W. Clark', 'Dr. Victor Galitski']",Exploring Quantum Physics,8 weeks long
University of Amsterdam,['Gerben Moerman'],Qualitative Research Methods ,6 weeks long
Duke University,"['Leonard E. White, Ph.D. ']",Foundational Neuroscience for Perception and Action,8 weeks long
University of Pennsylvania,['Kenneth  L.  Shropshire'],The Global Business of Sports,7 weeks long
University of Michigan,"['Caren Stalburg, MD, MA']",Instructional Methods in Health Professions Education,8 weeks long
University of Amsterdam,['Annemarie Zand Scholten'],Solid Science: Research Methods,6 weeks long
University of Pennsylvania,['Karl  T. Ulrich'],Design: Creation of Artifacts in Society,8 weeks long
University of Illinois at Urbana-Champaign,['Heitor Almeida'],Financial Evaluation and Strategy: Corporate Finance,4 weeks long
Lund University,"['Anette Agardh', 'Jerker Liljestrand']",Global Perspectives on Sexual and Reproductive Health and Rights (SRHR),5 weeks long
"University of California, Irvine",[],Fundamentals of Management,4 weeks long
Wesleyan University,['Jeanine Basinger'],Marriage and the Movies: A History,5 weeks long
"University of California, San Diego ",['Scott  Klemmer'],Interaction Techniques,3 weeks long
"University of California, Irvine",['Sue Robins'],High-Impact Business Writing,4 weeks long
The University of Melbourne,['Peter McPhee'],The French Revolution,8 weeks long
IESE Business School,['Prof. Javier Estrada'],Corporate Finance Essentials,6 weeks long
UNSW Australia (The University of New South Wales),"['Oya Demirbilek', 'Elizabeth  Farrelly']",Re-Enchanting the City - Designing the Human Habitat,8 weeks long
University of Pennsylvania,['Al Filreis'],Modern & Contemporary American Poetry,10 weeks long
"University of California, San Diego ",['Scott  Klemmer'],Design Research: Needfinding & Feedback,3 weeks long
University of Illinois at Urbana-Champaign,['Kevin Hartman'],Digital Analytics for Marketing Professionals: Marketing Analytics in Theory,4 weeks long
The University of Edinburgh,"['Dr Michael Edwards', 'Dr Zack Moir', 'Richard Worth', 'Dr Nikki  Moran', 'Dr John Philip Kitchen, MA BMus PhD  FRCO LRAM']",Fundamentals of Music Theory,5 weeks long
IE Business School,[' Rolf  Strom-Olsen '],Critical Perspectives on Management,6 weeks long
University of Florida,"['Michael S. Gutter, Ph.D.']",Personal & Family Financial Planning,8 weeks long
"University of California, Irvine",[],Essentials of Entrepreneurship: Thinking & Action,4 weeks long
The World Bank,"['Kanta Kumari Rigaud ', 'Pablo  Benitez']",Turn Down the Heat: Why a 4°C Warmer World Must be Avoided,5 weeks long
"University of California, San Diego ",['Scott  Klemmer'],"Designing, Running, and Analyzing Experiments",3 weeks long
University of Wisconsin–Madison,"['Jesse  Stommel', 'Sarah L. Marty', 'R L Widmann', 'Catherine DeRose']", Shakespeare in Community,4 weeks long
The University of Melbourne,['Dr. Marnie Blewitt'],Epigenetic Control of Gene Expression,8 weeks long
"University of California, San Diego ",['Scott  Klemmer'],Human-Computer Interaction Design,9 weeks long
Stanford University,['Michael Genesereth'],Introduction to Logic,8 weeks long
University of Wisconsin–Madison,['Alan R Carroll'],Energy and the Earth,4 weeks long
"University of California, Irvine",['Margaret  Meloni'],Budgeting and Scheduling Projects,4 weeks long
École Polytechnique Fédérale de Lausanne,"['Olivier L. Burdet', 'Aurelio Muttoni']",L'art des structures 1 : Câbles et arcs,10 weeks long
Indian School of Business,['Dr. Rajagopal Raghunathan'],A Life of Happiness and Fulfillment,6 weeks long
Princeton University,"['Kevin Wayne', 'Robert Sedgewick']","Algorithms, Part I",6 weeks long
Stanford University,['Tim Roughgarden'],"Algorithms: Design and Analysis, Part 1",6 weeks long
Stanford University,['Nick Parlante'],Computer Science 101,Indeterminate Duration
The Ohio State University,"['Dr. Kenneth  M.  Hale, RPh, PhD']",Introduction to Pharmacy,7 weeks long
Stanford University,"['Jure Leskovec', 'Anand Rajaraman', 'Jeff Ullman']",Mining Massive Datasets,7 weeks long
École Polytechnique Fédérale de Lausanne,['Marco Picasso'],Analyse numérique pour ingénieurs,8 weeks long
The University of Edinburgh,"['Dr. Gerhard Wickler', 'Prof. Austin Tate']",Artificial Intelligence Planning,7 weeks long
Stanford University,['Dr. Kim F. Rhoads'],Practical tips to improve Asian American participation in cancer clinical trials,104 weeks long
Stanford University,"['Stan Deresinski, MD', 'Elizabeth Robilotti']",Antimicrobial Stewardship: Optimization of Antibiotic Practices,104 weeks long
Wesleyan University,['Scott Plous'],Social Psychology,7 weeks long
Ludwig-Maximilians-Universität München (LMU),"['Martha Merrow', 'Till Roenneberg']",Circadian clocks: how rhythms structure life,6 weeks long
University of Kentucky,"['Dr. Phil Kraemer', 'Dr. Jonathan Golding']",How to Succeed in College,6 weeks long
IESE Business School,['Prof. Pankaj Ghemawat'],Globalization of Business Enterprise,8 weeks long
Lund University,"['Jörgen Hettne', 'Cécile Brokelind', 'Sanja Bogojevi ?', 'Michael Bogdan', 'Anna Wiberg', 'Mia Rönnmar ', 'Björn Lundqvist', 'Henrik Norinder', 'Ulf Maunsbach', 'Eduardo Gill Pedro', 'Magnus Schmauch', 'Ulrika Wennersten', 'Angelica Ericsson', 'Hans Henrik Lidgard', 'Justin Pierce', 'Xavier Groussot', 'Timo Minssen']",Introduction to European Business Law,10 weeks long
Princeton University,['Robert Sedgewick'],Analysis of Algorithms,6 weeks long
Stanford University,['Daniel A. McFarland'],Organizational Analysis (Self-Paced),10 weeks long
University of Washington,['Dr. Kjell Konis'],Mathematical Methods for Quantitative Finance,8 weeks long
École normale supérieure,['Werner Krauth'],Statistical Mechanics: Algorithms and Computations,10 weeks long
University of Washington,['Nathan Kutz'],Computational Methods for Data Analysis,10 weeks long
State University of New York,"['Dr. Thomas P. Mackey', 'Professor Trudi Jacobson', 'Kathleen Stone', ""Kelsey O'Brien"", 'Ms. Jenna Pitera', 'Allison Hosier', 'Dr. Michele Forte', 'Amy McQuigge']",Metaliteracy: Empowering Yourself in a Connected World,10 weeks long
University of Kentucky,"['Dr. Allison Soult', 'Dr. Kim Woodrum']",Chemistry,10 weeks long
University of Minnesota,['Dr.  Christopher J.  Cramer'],Statistical Molecular Thermodynamics,11 weeks long
"Nanyang Technological University, Singapore",['Vijay Sethi'],Foundations of E-Commerce ,6 weeks long
Stanford University,['Jonathan Mayer'],Surveillance Law,6 weeks long
University of Oregon,"['Dr. Deborah Healey', 'Jeff Magoto', 'Dr. Elizabeth Hanson-Smith']","Shaping the Way We Teach English, 2: Paths to Success in ELT",5 weeks long
University of Michigan,"['Sally Santen, M.D., Ph.D.']",Teaching and Assessing Clinical Skills,6 weeks long
Ludwig-Maximilians-Universität München (LMU),['Donald Bruce Dingwell'],Volcanic Eruptions: a material science.,10 weeks long
Caltech,"['Amy Braverman', 'Daniel J. Crichton', 'Scott Davidoff', 'S. George Djorgovski', 'Ciro Donalek', 'Richard J. Doyle', 'Thomas Fuchs', 'Matthew Graham', 'Ashish Mahabal', 'Chris Mattmann', 'David R. Thompson']",The Caltech-JPL Summer School on Big Data Analytics,2 weeks long
University of Amsterdam,['Rutger de  Graaf'],Introduction to Communication Science,7 weeks long
Duke University,['Ronen Plesser'],Introduction to Astronomy,13 weeks long
Wesleyan University,['Scott Higgins'],"The Language of Hollywood: Storytelling, Sound, and Color",5 weeks long
University of Geneva,"['Martin Beniston', 'Pascal Peduzzi', 'Sandy Alexander Bisaro', 'Arthur Lyon Dahl', 'Angus Mackay', 'Pradeep Kurukulasuriya']",Pathways to climate change adaptation: the case of Small Island Developing States,5 weeks long
University of Toronto,['Steve Joordens'],Introduction to Psychology,Indeterminate Duration
Columbia University,['Perry G Mehrling'],"Economics of Money and Banking, Part One",Indeterminate Duration
Georgia Institute of Technology,['Dr. Michael F. Schatz'],Introductory Physics I with Laboratory,Indeterminate Duration
Korea Advanced Institute of Science and Technology,['Yang-Hann Kim'],Introduction to Acoustics (Part 2),Indeterminate Duration
CentraleSupélec,"['John Cagnol', 'Anna Rozanova-Pierrat']",An Introduction to Functional Analysis,Indeterminate Duration
Copenhagen Business School,"['Robert Austin', 'Shannon Hessel', 'Richard L. Nolan']",Leadership in 21st Century Organizations,Indeterminate Duration
Georgia Institute of Technology,['Dr. Fatimah Wirth'],Fundamentals of Online Education: Planning and Application,Indeterminate Duration
Sapienza University of Rome,"['Paolo Matthiae', 'Davide Nadali', 'Andrea Vitaletti', 'Emanuel Demetrescu']",Recovering the Humankind's Past and Saving the Universal Heritage,Indeterminate Duration
Johns Hopkins University,"['Dr. Scott L. Zeger, PhD']",Case-Based Introduction to Biostatistics,Indeterminate Duration
University of Pittsburgh,"['Amy D. Rickman, Ph.D., RD, LDN', 'John M. Jakicic, Ph.D.']",Nutrition and Physical Activity for Health,Indeterminate Duration
Rutgers University,['Dr. Darrin M. York'],Preparation for General Chemistry,Indeterminate Duration
The Ohio State University,"['Nicole Cartwright Kwiek, Ph.D.']",Generation Rx: The Science Behind Prescription Drug Abuse,Indeterminate Duration
Duke University,['Dr. Roger Barr'],Bioelectricity: A Quantitative Approach,Indeterminate Duration
The Museum of Modern Art,"['Jessica Baldenhofer', 'Lisa Mazzola', 'Stephanie Pau']",Art & Activity: Interactive Strategies for Engaging with Art,Indeterminate Duration
University of Pennsylvania,['Michael Kearns'],Networked Life,Indeterminate Duration
West Virginia University,['Darko Velichkovski'],"New World, New Map: GPS for Today’s Music Industry",Indeterminate Duration
Georgia Institute of Technology,['Dr. Anderson  D. Smith'],Introduction to Psychology as a Science,Indeterminate Duration
Georgia Institute of Technology,['Dr. Rahul Basole'],Healthcare Data Visualization,Indeterminate Duration
Match Teacher Residency,['Mr.  Orin  Gutlerner'],Coaching Teachers: Promoting Changes that Stick ,Indeterminate Duration
Stanford University,"['Dan Boneh', 'Prof. Dawn Song', 'John C Mitchell']",Computer Security,Indeterminate Duration
"University of California, Irvine","['Dr.  Sarah Eichhorn', 'Dr. Rachel Cohen Lehman']",Pre-Calculus,Indeterminate Duration
Relay Graduate School of Education,['Dave Levin'],Teaching Character and Creating Positive Classrooms ,Indeterminate Duration
Princeton University,['Mitchell Duneier'],Introduction to Sociology,Indeterminate Duration
"Duke University, Emory University & The University of North Carolina at Chapel Hill","['Kevin Smith, M.L.S., J.D.', 'Lisa A. Macklin, J.D.,M.L.S.', 'Anne Gilliland, JD, MLS']",Copyright for Educators & Librarians,Indeterminate Duration
The Pennsylvania State University,"['Dr. Kathryn W. Jablokow', 'Dr. Darrell Velegol', 'Dr. Jack V. Matson', 'Elizabeth Kisenwether']","Creativity, Innovation, and Change | ?????, ? ??",Indeterminate Duration
University of Toronto,['Nicholas James Provart'],Bioinformatic Methods II,Indeterminate Duration
West Virginia University,"['Dr. Richard Riley, Ph.D', 'Dr. Richard Dull, Ph.D', 'John Gill, J.D., CFE']",Forensic Accounting and Fraud Examination,Indeterminate Duration
University of Rochester,"['Robert  Clark', 'Mark  Bocko']",Fundamentals of Audio and Music Engineering: Part 1 Musical Sound & Electronics,Indeterminate Duration
University of Houston System,"['Dr. Jeffrey J Morgan', 'Rebecca George']",Preparing for the AP* Calculus AB and BC Exams (Part 1 - Differential Calculus),Indeterminate Duration
The University of North Carolina at Chapel Hill,['Dr. Jeffrey Pomerantz'],Metadata: Organizing and Discovering Information,Indeterminate Duration
University of Wisconsin–Madison,"['Constance Steinkuehler', 'Kurt Squire']",Video Games and Learning,Indeterminate Duration
University of Rochester,['Adam Frank'],Confronting The Big Questions: Highlights of Modern Astronomy,Indeterminate Duration
University of Alberta,"['Leah Hackman', 'Sean Gouglas']",Understanding Video Games,Indeterminate Duration
Columbia University,['Perry G Mehrling'],"Economics of Money and Banking, Part Two",Indeterminate Duration
University of Pennsylvania,"['Ian MacMillan', 'James D. Thompson', 'Peter  Frumkin']",Social Entrepreneurship,Indeterminate Duration
Duke University,['Cathy N. Davidson'],History and Future of (Mostly) Higher Education,Indeterminate Duration
University of Pittsburgh,"['Jennifer  Zoltners Sherer', 'Pam Goldman', 'Lauren B. Resnick']",Accountable Talk®: Conversation that Works,Indeterminate Duration
Higher School of Economics,['Vasily  Klucharev'],Introduction to Neuroeconomics: how the brain makes decisions,Indeterminate Duration
University of New Mexico,['Edward Angel'],Interactive Computer Graphics with WebGL,Indeterminate Duration
"University of California, San Francisco","['Abbey Alkon, RN, PNP, MPH, PhD']",Understanding Research: An Overview for Health Professionals,Indeterminate Duration
The Ohio State University,"['Jim Fowler, PhD', 'Steve Gubkin']",Massively Multivariable Open Online Calculus Course,Indeterminate Duration
Hebrew University of Jerusalem,['Dr. Yuval Noah Harari'],A Brief History of Humankind,Indeterminate Duration
The University of British Columbia,['Dr. Rosemary Redfield'],Useful Genetics Part 1,Indeterminate Duration
Duke University,"['Dr. Dalene Stangl', 'Dr. Kate Allman', 'Dr. Mine Çetinkaya-Rundel']",Teaching Statistical Thinking: Part 1 Descriptive Statistics,Indeterminate Duration
University of Geneva,"['Christophe Chalamet', 'François Dermange', 'Michel Grandjean', 'Sarah Nicolet']",Calvin - Histoire et réception d'une Réforme,Indeterminate Duration
Vanderbilt University,"['David  A. Owens, PhD, PE']",Leading Strategic Innovation in Organizations,Indeterminate Duration
The Hong Kong University of Science and Technology,"['James Z. Lee', 'Byung-Ho  Lee']","A New History for a New China, 1700-2000: New Data and New Methods, Part 1",Indeterminate Duration
"University of Maryland, College Park",['Bernard Dov Cooperman'],Practicing Tolerance in a Religious Society: The Church and the Jews in Italy,Indeterminate Duration
"University of Maryland, College Park","['Hank C. Lucas, Jr.']",Surviving Disruptive Technologies,Indeterminate Duration
University of Pennsylvania,['Carol Muller'],Listening to World Music,Indeterminate Duration
HEC Paris,['Alberto Alemanno'],Understanding Europe: Why It Matters and What It Can Offer You,Indeterminate Duration
Tel Aviv University,"['Professor Daniel Chamovitz, Ph.D.']",What a Plant Knows (and other things you didn’t know about plants),Indeterminate Duration
University System of Georgia,"['Dr. Humayun Zafar', 'Mr. Andy Green']",Cybersecurity and Its Ten Domains,Indeterminate Duration
Yale University,['Paul Bloom'],Moralities of Everyday Life,Indeterminate Duration
University of Pennsylvania,"['Dr. Thomas P. Sollecito, DMD, FDS RCSEd', 'Dr. Eric Stoopler', 'Dr. Uri Hangorsky']",Introduction to Dental Medicine,Indeterminate Duration
Johns Hopkins University,"['William Eaton, PhD', 'Wietse A. Tol, PhD', 'Ramin Mojtabai, MD']",Major Depression in the Population: A Public Health Approach,Indeterminate Duration
The University of Edinburgh,"['Dr. Michela Massimi', 'Dr. Alasdair Richmond', 'Dr. Suilin Lavelle', 'Dr David Carmel', 'Dr Mark Sprevak', 'Professor Duncan Pritchard', 'Professor Andy Clark', 'Professor John Peacock', 'Professor Barbara Webb', 'Dr Kenny Smith', 'Dr Peggy Series']",Philosophy and the Sciences,Indeterminate Duration
University of Washington,"['Gaetano Borriello', 'Luis Ceze']",The Hardware/Software Interface,Indeterminate Duration
Universiteit Leiden,['Ester van der Voet'],Wheels of Metals: Urban Mining for a Circular Economy,Indeterminate Duration
University of Minnesota,"['Brad Hokanson, PhD']",Creative Problem Solving,Indeterminate Duration
University of Florida,['Professor David Carlson'],Music's Big Bang: The Genesis of Rock 'n' Roll,Indeterminate Duration
Hebrew University of Jerusalem,['Idan Segev'],"Synapses, Neurons and Brains ",Indeterminate Duration
Columbia University,['Michael Collins'],Natural Language Processing,Indeterminate Duration
Exploratorium,"['Paul Doherty, Ph.D', 'Julie Yu, PhD', 'Eric Muller']",Re-Engineering Your Science Curriculum,Indeterminate Duration
University of Wisconsin–Madison,"['Janet Silbernagel,  Ph.D.', 'Paul Robbins, Ph.D.', 'Tim Van Deelen, Ph.D.']","The Land Ethic Reclaimed: Perceptive Hunting, Aldo Leopold, and Conservation",Indeterminate Duration
University of Geneva,"['Stéphane Udry', 'Michel Mayor', 'Didier Queloz', 'Francesco Pepe', 'Christophe Lovis', 'Damien Ségransan', 'Maxime Marmier']",The Diversity of Exoplanets,Indeterminate Duration
Stanford University,"['Per Enge', 'Frank van Diggelen']","GPS: An Introduction to Satellite Navigation, with an interactive Worldwide Laboratory using Smartphones",Indeterminate Duration
The University of British Columbia,['Gregor Kiczales'],Introduction to Systematic Program Design - Part 1,Indeterminate Duration
University of Pennsylvania,['Unknown Author'],"Cardiac Arrest, Hypothermia, and Resuscitation Science",Indeterminate Duration
Emory University,"['Lynn Sibley, Ph.D., RN, CNM, FAAN, FACNM']",Childbirth: A Global Perspective,Indeterminate Duration
"University of California, San Francisco","['B. Joseph Guglielmo, PharmD', 'Lisa A. Kroon']","Diabetes: Diagnosis, Treatment, and Opportunities",Indeterminate Duration
University of Pennsylvania,"['Dr. James S. White', 'Dr. Alexander Stone Macnow']",Going Out on a Limb: The Anatomy of the Upper Limb,Indeterminate Duration
Johns Hopkins University,"['Dr. Christine L. Savage, PhD, RN, CARN, FAAN', 'Deborah Finnell, DNS, PMHNP-BC, CARN-AP, FAAN']","Alcohol, Drugs, and Baby Boomers: Are you ready?",Indeterminate Duration
Johns Hopkins University,"['Jeff Leek, PhD']",Data Analysis,Indeterminate Duration
"University of California, Santa Cruz","['Murray Baumgarten', 'Peter Kenez']",The Holocaust,Indeterminate Duration
UNSW Australia (The University of New South Wales),"['Simon  McIntyre', 'Dr Negin Mirriahi']",Learning to Teach Online,Indeterminate Duration
University of Pennsylvania,['Alexander  Guerrero'],Revolutionary Ideas:  An Introduction to Legal and Political Philosophy,Indeterminate Duration
Johns Hopkins University,"['Dr. Mariale  Hardiman, Ed.D.']",The Brain-Targeted Teaching® Model for 21st Century Schools,Indeterminate Duration
Georgia Institute of Technology,['Dr. Jimeng Sun'],Big Data Analytics for Healthcare,Indeterminate Duration
Georgia Institute of Technology,['Dr. Irfan Essa'],Computational Photography,Indeterminate Duration
Rice University,['Professor Vicki Colvin'],Analytical Chemistry / Instrumental Analysis,Indeterminate Duration
University of Rochester,['John Covach'],"History of Rock, Part One",Indeterminate Duration
Rice University,"['Lara Arch', 'Chris ""C. J."" Thompson', 'Lisa Webber', 'Dr. Jarrett Reid Whitaker', 'Dr. Terry K. Talley']",Inquiry Science Learning: Perspectives and Practices 1 - Science Leadership,Indeterminate Duration
Wesleyan University,['Lisa Dierker'],Passion Driven Statistics,Indeterminate Duration
Johns Hopkins University,['William Brieger'],Training and Learning Programs for Volunteer Community Health Workers,Indeterminate Duration
University of London,"['Dr Marco Gillies', 'Dr Matthew Yee-King', 'Dr Mick Grierson']",Creative Programming for Digital Media & Mobile Apps,Indeterminate Duration
Georgia Institute of Technology,"['Dr. Wayne Whiteman, PE']",Applications in Engineering Mechanics,Indeterminate Duration
Princeton University,['David Spergel'],Imagining Other Earths,Indeterminate Duration
University of Geneva,"['Antoine Geissbuhler', 'Louis Loutan', 'Samantha Battams', 'Didier Wernli', 'Slim Slama', 'Rafael Ruiz De Castaneda']",Global Health: An Interdisciplinary Overview,Indeterminate Duration
University of London,['Dr Emmett Sullivan'],The Camera Never Lies,Indeterminate Duration
Stanford University & Universitat Pompeu Fabra of Barcelona,"['Prof Xavier Serra', 'Prof Julius O Smith, III']",Audio Signal Processing for Music Applications,Indeterminate Duration
Johns Hopkins University,"['Brian Caffo, PhD']",Mathematical Biostatistics Boot Camp 1,Indeterminate Duration
Duke University,['Dr. Bruce W Jentleson'],21st Century American Foreign Policy,Indeterminate Duration
Columbia University,['Ryan Baker'],Big Data in Education,Indeterminate Duration
Universitat Autònoma de Barcelona,['Emilio Fernández Peña'],The Olympic Games and the Media,Indeterminate Duration
